n,d,Q,R,sspl_lb,bdr,mgr,sspl,node,time
6,5,1,0,30,cycle,basic,30,11,7.8e-05
8,5,1,2,72,cycle,basic,72,309,0.000996
4,3,1,0,12,cycle,minmax,12,4,6e-05
6,3,1,2,42,cycle,minmax,42,22,0.000206
8,3,1,4,88,cycle,minmax,88,70,0.000808
10,3,2,0,150,cycle,minmax,150,16,0.000247
12,3,2,2,252,cycle,minmax,252,130,0.001781
14,3,2,4,378,cycle,minmax,378,1969,0.116008
16,3,2,6,528,cycle,basic,528,309137,1.08838
5,4,1,0,20,cycle,minmax,20,7,0.000132
6,4,1,1,36,cycle,minmax,36,36,0.000309
7,4,1,2,56,cycle,minmax,56,58,0.000537
8,4,1,3,80,cycle,minmax,80,101,0.001052
9,4,1,4,108,cycle,minmax,108,37,0.0005
10,4,1,5,140,cycle,minmax,140,520,0.00721
6,5,1,0,30,cycle,minmax,30,11,0.000125
8,5,1,2,72,cycle,minmax,72,308,0.003019
4,3,1,0,12,stree,basic,12,4,4.6e-05
6,3,1,2,42,stree,basic,42,9,5.1e-05
8,3,1,4,88,stree,basic,88,16,7.6e-05
10,3,2,0,150,stree,basic,150,16,8.7e-05
12,3,2,2,252,stree,basic,252,27,0.000111
14,3,2,4,378,stree,basic,378,58,0.000198
16,3,2,6,528,stree,basic,528,184,0.000673
5,4,1,0,20,stree,basic,20,7,6.1e-05
6,4,1,1,36,stree,basic,36,23,0.000102
16,3,2,6,528,cycle,minmax,528,22587,0.560282
7,4,1,2,56,stree,basic,56,45,0.000157
8,4,1,3,80,stree,basic,80,19,0.000176
9,4,1,4,108,stree,basic,108,38,0.000152
10,4,1,5,140,stree,basic,140,45,0.000167
6,5,1,0,30,stree,basic,30,11,8.7e-05
8,5,1,2,72,stree,basic,72,224,0.000995
4,3,1,0,12,stree,minmax,12,4,5.9e-05
6,3,1,2,42,stree,minmax,42,9,0.000106
8,3,1,4,88,stree,minmax,88,15,0.000187
