n,d,Q,R,sspl_lb,bdr,mgr,srt,sspl,edge,node,time
7,4,1,2,56,cycle,minmax,sorted,56,13,62,0.000619
16,3,2,6,528,basic,minmax,basic,528,66,76427,1.8239
8,4,1,3,80,cycle,minmax,sorted,80,19,169,0.002058
9,4,1,4,108,cycle,minmax,sorted,108,26,282,0.004643
6,5,1,0,30,cycle,minmax,sorted,30,10,11,0.000135
10,4,1,5,140,cycle,minmax,sorted,140,34,555,0.007536
4,3,1,0,12,stree,basic,basic,12,3,4,4.8e-05
8,5,1,2,72,cycle,minmax,sorted,72,19,355,0.005368
6,3,1,2,42,stree,basic,basic,42,8,9,5e-05
8,3,1,4,88,stree,basic,basic,88,13,16,7.4e-05
10,3,2,0,150,stree,basic,basic,150,15,16,8.6e-05
14,3,2,4,378,stree,basic,basic,378,41,58,0.000211
12,3,2,2,252,stree,basic,basic,252,26,27,0.000117
16,3,2,6,528,stree,basic,basic,528,60,184,0.000788
6,4,1,1,36,stree,basic,basic,36,9,23,0.000105
5,4,1,0,20,stree,basic,basic,20,6,7,0.000143
7,4,1,2,56,stree,basic,basic,56,13,45,0.000164
8,4,1,3,80,stree,basic,basic,80,18,19,0.00019
9,4,1,4,108,stree,basic,basic,108,24,38,0.000156
6,5,1,0,30,stree,basic,basic,30,10,11,9.1e-05
10,4,1,5,140,stree,basic,basic,140,31,45,0.000557
4,3,1,0,12,stree,minmax,basic,12,3,4,6e-05
8,5,1,2,72,stree,basic,basic,72,19,224,0.000905
6,3,1,2,42,stree,minmax,basic,42,8,9,0.000109
10,3,2,0,150,stree,minmax,basic,150,15,16,0.000269
8,3,1,4,88,stree,minmax,basic,88,13,15,0.000517
12,3,2,2,252,stree,minmax,basic,252,26,27,0.000488
14,3,2,4,378,stree,minmax,basic,378,41,51,0.001107
5,4,1,0,20,stree,minmax,basic,20,6,7,9.3e-05
16,3,2,6,528,stree,minmax,basic,528,60,69,0.001471
7,4,1,2,56,stree,minmax,basic,56,13,45,0.000446
6,4,1,1,36,stree,minmax,basic,36,9,23,0.000227
8,4,1,3,80,stree,minmax,basic,80,18,19,0.000389
9,4,1,4,108,stree,minmax,basic,108,24,32,0.001118
10,4,1,5,140,stree,minmax,basic,140,31,38,0.001099
6,5,1,0,30,stree,minmax,basic,30,10,11,0.000167
8,5,1,2,72,stree,minmax,basic,72,19,224,0.003927
4,3,1,0,12,basic,basic,basic,12,3,4,3.7e-05
6,3,1,2,42,basic,basic,basic,42,10,44,0.000137
10,3,2,0,150,basic,basic,basic,150,15,16,8.5e-05
8,3,1,4,88,basic,basic,basic,88,21,642,0.001852
12,3,2,2,252,basic,basic,basic,252,28,76,0.000257
14,3,2,4,378,basic,basic,basic,378,45,3950,0.025558
5,4,1,0,20,basic,basic,basic,20,6,7,0.00011
6,4,1,1,36,basic,basic,basic,36,10,46,0.000166
7,4,1,2,56,basic,basic,basic,56,15,131,0.000371
8,4,1,3,80,basic,basic,basic,80,21,670,0.003112
9,4,1,4,108,basic,basic,basic,108,28,506,0.001645
10,4,1,5,140,basic,basic,basic,140,36,38126,0.283562
6,5,1,0,30,basic,basic,basic,30,10,11,7.8e-05
8,5,1,2,72,basic,basic,basic,72,21,711,0.002316
4,3,1,0,12,basic,minmax,basic,12,3,4,5e-05
6,3,1,2,42,basic,minmax,basic,42,10,38,0.000336
8,3,1,4,88,basic,minmax,basic,88,21,78,0.000924
10,3,2,0,150,basic,minmax,basic,150,15,16,0.000263
12,3,2,2,252,basic,minmax,basic,252,28,70,0.001832
14,3,2,4,378,basic,minmax,basic,378,45,1300,0.111005
16,3,2,6,528,basic,minmax,basic,528,66,76427,1.78061
5,4,1,0,20,basic,minmax,basic,20,6,7,8.4e-05
6,4,1,1,36,basic,minmax,basic,36,10,46,0.000447
7,4,1,2,56,basic,minmax,basic,56,15,119,0.001058
8,4,1,3,80,basic,minmax,basic,80,21,390,0.004031
9,4,1,4,108,basic,minmax,basic,108,28,83,0.001078
10,4,1,5,140,basic,minmax,basic,140,36,938,0.015761
6,5,1,0,30,basic,minmax,basic,30,10,11,0.000129
8,5,1,2,72,basic,minmax,basic,72,21,684,0.006479
