n,p-or-m,type,seed,m,test,time-igraph,time
1000,6,scale-free,1368452727,5993,1,0.099543,0.050583
600,15,scale-free,2307252557,8984,1,0.062398,0.023855
1000,0.3,random,2760669153,149892,1,1.41138,0.052756
1000,10,scale-free,3403357323,9989,1,0.138861,0.059309
10,0.1,random,1636523965,1,1,7e-06,7e-06
10,0.3,random,2173888152,14,1,1.3e-05,1e-05
10,0.6,random,1110486666,30,1,1.6e-05,1.1e-05
10,0.9,random,333050915,41,1,1.9e-05,1e-05
50,0.1,random,1576857695,131,1,0.000219,0.000186
50,0.3,random,656588917,370,1,0.000645,0.000194
50,0.6,random,3075396009,729,1,0.000455,0.000137
50,0.9,random,971085403,1109,1,0.00057,0.000107
100,0.1,random,1442263803,480,1,0.010059,0.000994
100,0.3,random,2393893874,1446,1,0.014157,0.000725
100,0.6,random,2968655173,2926,1,0.006002,0.001097
100,0.9,random,3758907005,4441,1,0.012715,0.001357
300,0.1,random,1697612666,4457,1,0.015605,0.005109
1000,0.6,random,875611073,299588,1,2.72868,0.058654
300,0.3,random,1560778219,13452,1,0.038463,0.004312
300,0.9,random,279334744,40451,1,0.103573,0.005013
300,0.6,random,243882552,26987,1,0.073971,0.007773
600,0.1,random,310026885,18231,1,0.111844,0.020228
600,20,scale-free,3472465246,11979,1,0.076936,0.023177
600,0.3,random,647747667,54110,1,0.275608,0.020246
1000,20,scale-free,3473799494,19979,1,0.21497,0.049931
1000,0.1,random,1562702817,49419,1,0.451322,0.052178
600,0.9,random,975184348,161751,1,0.800202,0.021235
1000,0.9,random,699979111,449525,1,3.62565,0.053894
10,3,scale-free,2530582694,26,1,1.5e-05,6e-06
10,6,scale-free,1961709734,53,1,1.8e-05,7e-06
50,3,scale-free,2222620578,146,1,0.000178,0.000107
50,6,scale-free,890354536,293,1,0.000252,0.000117
50,10,scale-free,3232300000,489,1,0.000667,0.000187
50,15,scale-free,2347560878,734,1,0.000875,0.000182
50,20,scale-free,3938636358,979,1,0.000532,0.000102
100,3,scale-free,3685526948,296,1,0.002742,0.001374
100,6,scale-free,4061164632,593,1,0.000967,0.000385
100,10,scale-free,1499511618,989,1,0.001283,0.000406
100,15,scale-free,3254517019,1484,1,0.001818,0.000431
600,0.6,random,997111640,107673,1,0.547518,0.016522
300,3,scale-free,702470786,896,1,0.005985,0.005788
1000,15,scale-free,3932922484,14984,1,0.170374,0.048673
300,6,scale-free,1358529751,1793,1,0.008899,0.005231
100,20,scale-free,3205257774,1979,1,0.002155,0.000504
300,10,scale-free,1005103616,2989,1,0.011823,0.00454
600,3,scale-free,3619928251,1796,1,0.025773,0.02629
600,6,scale-free,1039327258,3593,1,0.035531,0.022351
300,15,scale-free,3574202175,4484,1,0.015397,0.004274
300,20,scale-free,961697682,5979,1,0.020092,0.004082
600,10,scale-free,908391606,5989,1,0.047279,0.018389
1000,3,scale-free,2293718299,2996,1,0.072279,0.052498
1000,6,scale-free,1368452727,5993,1,0.099614,0.052152
600,15,scale-free,2307252557,8984,1,0.062864,0.019846
1000,0.3,random,2760669153,149892,1,1.44887,0.05137
1000,10,scale-free,3403357323,9989,1,0.133695,0.050742
10,0.1,random,1636523965,1,1,7e-06,6e-06
10,0.3,random,2173888152,14,1,1.4e-05,1.1e-05
10,0.6,random,1110486666,30,1,1.4e-05,1.1e-05
10,0.9,random,333050915,41,1,1.4e-05,1.2e-05
50,0.1,random,1576857695,131,1,0.000213,0.000181
50,0.3,random,656588917,370,1,0.000359,0.000119
50,0.6,random,3075396009,729,1,0.0004,9.4e-05
50,0.9,random,971085403,1109,1,0.000586,0.014091
100,0.1,random,1442263803,480,1,0.002027,0.000942
100,0.3,random,2393893874,1446,1,0.005329,0.00167
100,0.6,random,2968655173,2926,1,0.02145,0.000974
100,0.9,random,3758907005,4441,1,0.035766,0.000884
300,0.1,random,1697612666,4457,1,0.014665,0.005613
1000,0.6,random,875611073,299588,1,2.71245,0.058355
300,0.3,random,1560778219,13452,1,0.038257,0.003979
300,0.9,random,279334744,40451,1,0.101668,0.008151
300,0.6,random,243882552,26987,1,0.068564,0.004214
600,0.1,random,310026885,18231,1,0.112846,0.02663
600,20,scale-free,3472465246,11979,1,0.078415,0.019278
600,0.3,random,647747667,54110,1,0.281417,0.019013
1000,20,scale-free,3473799494,19979,1,0.208709,0.049299
1000,0.1,random,1562702817,49419,1,0.445155,0.053092
600,0.9,random,975184348,161751,1,0.785101,0.018788
1000,0.9,random,699979111,449525,1,3.62448,0.051086
10,3,scale-free,2530582694,26,1,1.4e-05,5e-06
10,6,scale-free,1961709734,53,1,1.7e-05,6e-06
50,3,scale-free,2222620578,146,1,0.000169,0.000112
50,6,scale-free,890354536,293,1,0.009685,0.000145
50,10,scale-free,3232300000,489,1,0.00099,0.000277
50,15,scale-free,2347560878,734,1,0.000454,0.000109
50,20,scale-free,3938636358,979,1,0.000473,0.000107
100,3,scale-free,3685526948,296,1,0.001387,0.000638
100,6,scale-free,4061164632,593,1,0.001918,0.000765
100,10,scale-free,1499511618,989,1,0.001379,0.000499
100,15,scale-free,3254517019,1484,1,0.001722,0.000425
600,0.6,random,997111640,107673,1,0.54786,0.02369
100,20,scale-free,3205257774,1979,1,0.002185,0.000586
300,3,scale-free,702470786,896,1,0.0059,0.004177
300,6,scale-free,1358529751,1793,1,0.008627,0.005884
300,10,scale-free,1005103616,2989,1,0.011574,0.00506
1000,15,scale-free,3932922484,14984,1,0.177607,0.052778
300,15,scale-free,3574202175,4484,1,0.013596,0.005646
600,3,scale-free,3619928251,1796,1,0.026037,0.019456
600,6,scale-free,1039327258,3593,1,0.036925,0.025944
300,20,scale-free,961697682,5979,1,0.018591,0.005502
600,10,scale-free,908391606,5989,1,0.046791,0.019065
1000,3,scale-free,2293718299,2996,1,0.070093,0.053928
1000,6,scale-free,1368452727,5993,1,0.095131,0.05504
600,15,scale-free,2307252557,8984,1,0.059559,0.019327
1000,10,scale-free,3403357323,9989,1,0.132156,0.051513
1000,0.3,random,2760669153,149892,1,1.52233,0.057847
10,0.1,random,1636523965,1,1,6e-06,6e-06
