n,d,Q,R,sspl_lb,bdr,srt,mgr,sspl,edge,node,time
10,3,2,0,150,cycle,basic,basic,150,15,16,8.6e-05
12,3,2,2,252,cycle,basic,basic,252,26,130,0.000384
14,3,2,4,378,cycle,basic,basic,378,43,3508,0.012261
16,3,2,6,528,basic,basic,minmax,528,66,76427,1.88604
5,4,1,0,20,cycle,basic,basic,20,6,7,5.6e-05
6,4,1,1,36,cycle,basic,basic,36,8,15,7.6e-05
7,4,1,2,56,cycle,basic,basic,56,13,59,0.000193
8,4,1,3,80,cycle,basic,basic,80,19,203,0.000583
9,4,1,4,108,cycle,basic,basic,108,26,269,0.001113
10,4,1,5,140,cycle,basic,basic,140,34,15209,0.134414
16,3,2,6,528,cycle,basic,basic,528,64,321233,1.25811
4,3,1,0,12,cycle,basic,matrix,12,3,4,2.9e-05
6,3,1,2,42,cycle,basic,matrix,42,8,22,0.000141
8,3,1,4,88,cycle,basic,matrix,88,19,84,0.000732
10,3,2,0,150,cycle,basic,matrix,150,15,16,0.000241
12,3,2,2,252,cycle,basic,matrix,252,26,130,0.003677
14,3,2,4,378,cycle,basic,matrix,378,43,1837,0.09622
16,3,2,6,528,cycle,basic,matrix,528,64,10649,0.391714
5,4,1,0,20,cycle,basic,matrix,20,6,7,6.2e-05
6,4,1,1,36,cycle,basic,matrix,36,8,15,0.000116
7,4,1,2,56,cycle,basic,matrix,56,13,58,0.000402
8,4,1,3,80,cycle,basic,matrix,80,19,126,0.00096
9,4,1,4,108,cycle,basic,matrix,108,26,60,0.000586
10,4,1,5,140,cycle,basic,matrix,140,34,376,0.004136
11,4,1,6,176,cycle,basic,matrix,176,43,797,0.012071
4,3,1,0,12,cycle,basic,minmax,12,3,4,6.8e-05
6,3,1,2,42,cycle,basic,minmax,42,8,22,0.000193
8,3,1,4,88,cycle,basic,minmax,88,19,84,0.000943
10,3,2,0,150,cycle,basic,minmax,150,15,16,0.000291
12,3,2,2,252,cycle,basic,minmax,252,26,130,0.001765
14,3,2,4,378,cycle,basic,minmax,378,43,1837,0.068323
16,3,2,6,528,cycle,basic,minmax,528,64,10649,0.342171
5,4,1,0,20,cycle,basic,minmax,20,6,7,7.8e-05
6,4,1,1,36,cycle,basic,minmax,36,8,15,0.00021
7,4,1,2,56,cycle,basic,minmax,56,13,58,0.000617
8,4,1,3,80,cycle,basic,minmax,80,19,126,0.001928
9,4,1,4,108,cycle,basic,minmax,108,26,60,0.00079
10,4,1,5,140,cycle,basic,minmax,140,34,376,0.005512
11,4,1,6,176,cycle,basic,minmax,176,43,797,0.01434
