n,d,Q,R,sspl_lb,ginitr,sorted,sinitr,n_graph,sspl_max,sspl_min,n_edge,n_state,time
8,4,1,3,80,cycle,sorted,matrix,175,80,80,19,5174,0.047075
9,4,1,4,108,cycle,sorted,matrix,3000,108,108,26,71381,0.546477
10,4,1,5,140,cycle,sorted,matrix,36966,140,140,34,928742,7.2986
11,4,1,6,176,cycle,sorted,basic,265560,176,176,43,71102685,184.169
4,3,1,0,12,cycle,sorted,minmax,1,12,12,3,4,3.9e-05
6,3,1,2,42,cycle,sorted,minmax,3,42,42,8,41,0.000295
8,3,1,4,88,cycle,sorted,minmax,24,88,88,19,558,0.004601
10,3,2,0,150,cycle,sorted,minmax,4,150,150,15,54,0.000631
12,3,2,2,252,cycle,sorted,minmax,22,252,252,26,713,0.008018
14,3,2,4,378,cycle,sorted,minmax,1728,378,378,43,69857,0.980081
11,4,1,6,176,cycle,sorted,matrix,265560,176,176,43,10296883,92.5597
5,4,1,0,20,cycle,sorted,minmax,1,20,20,6,7,6.6e-05
6,4,1,1,36,cycle,sorted,minmax,3,36,36,8,27,0.000199
7,4,1,2,56,cycle,sorted,minmax,17,56,56,13,385,0.00256
8,4,1,3,80,cycle,sorted,minmax,175,80,80,19,5174,0.068731
9,4,1,4,108,cycle,sorted,minmax,3000,108,108,26,71381,0.714533
10,4,1,5,140,cycle,sorted,minmax,36966,140,140,34,928742,9.34076
11,4,1,6,176,basic,basic,minmax,2275080,176,176,45,89125837,984.568
16,3,2,6,528,cycle,sorted,minmax,50400,528,528,64,5031858,87.8645
11,4,1,6,176,cycle,sorted,minmax,265560,176,176,43,10296883,114.877
16,3,2,6,528,basic,basic,minmax,1013760,528,528,66,109823592,1881.15
