n,d,Q,R,sspl_lb,ginitr,sorted,sinitr,sspl,n_edge,n_state,time
6,3,1,2,42,stree,basic,matrix,42,8,9,0.000118
8,3,1,4,88,stree,basic,matrix,88,13,15,0.000216
10,3,2,0,150,stree,basic,matrix,150,15,16,0.000364
12,3,2,2,252,stree,basic,matrix,252,26,27,0.001169
14,3,2,4,378,stree,basic,matrix,378,41,51,0.001611
16,3,2,6,528,stree,basic,matrix,528,60,69,0.00269
4,3,1,0,12,stree,basic,minmax,12,3,4,0.000103
6,3,1,2,42,stree,basic,minmax,42,8,9,0.000175
8,3,1,4,88,stree,basic,minmax,88,13,15,0.000297
10,3,2,0,150,stree,basic,minmax,150,15,16,0.000388
12,3,2,2,252,stree,basic,minmax,252,26,27,0.000741
14,3,2,4,378,stree,basic,minmax,378,41,51,0.001547
16,3,2,6,528,stree,basic,minmax,528,60,69,0.002306
4,3,1,0,12,cycle,sorted,basic,12,3,4,6e-05
6,3,1,2,42,cycle,sorted,basic,42,8,20,0.000127
8,3,1,4,88,cycle,sorted,basic,88,19,116,0.00046
10,3,2,0,150,cycle,sorted,basic,150,15,16,0.000144
12,3,2,2,252,cycle,sorted,basic,252,26,60,0.000392
14,3,2,4,378,cycle,sorted,basic,378,43,1765,0.008997
16,3,2,6,528,cycle,basic,basic,528,64,321233,1.07323
4,3,1,0,12,cycle,sorted,matrix,12,3,4,3.6e-05
6,3,1,2,42,cycle,sorted,matrix,42,8,19,0.000254
8,3,1,4,88,cycle,sorted,matrix,88,19,52,0.00079
10,3,2,0,150,cycle,sorted,matrix,150,15,16,0.000298
12,3,2,2,252,cycle,sorted,matrix,252,26,60,0.001461
14,3,2,4,378,cycle,sorted,matrix,378,43,1000,0.055118
16,3,2,6,528,cycle,sorted,basic,528,64,100368,0.413211
4,3,1,0,12,cycle,sorted,minmax,12,3,4,4.1e-05
6,3,1,2,42,cycle,sorted,minmax,42,8,19,0.000142
8,3,1,4,88,cycle,sorted,minmax,88,19,52,0.000459
10,3,2,0,150,cycle,sorted,minmax,150,15,16,0.000199
12,3,2,2,252,cycle,sorted,minmax,252,26,60,0.000716
16,3,2,6,528,cycle,sorted,matrix,528,64,4124,0.158204
14,3,2,4,378,cycle,sorted,minmax,378,43,1000,0.020686
4,3,1,0,12,basic,basic,basic,12,3,4,7.8e-05
6,3,1,2,42,basic,basic,basic,42,10,44,0.000112
8,3,1,4,88,basic,basic,basic,88,21,642,0.001422
10,3,2,0,150,basic,basic,basic,150,15,16,7.3e-05
12,3,2,2,252,basic,basic,basic,252,28,76,0.000186
16,3,2,6,528,cycle,sorted,minmax,528,64,4124,0.209816
14,3,2,4,378,basic,basic,basic,378,45,3950,0.028343
4,3,1,0,12,basic,basic,matrix,12,3,4,3.5e-05
6,3,1,2,42,basic,basic,matrix,42,10,38,0.000199
8,3,1,4,88,basic,basic,matrix,88,21,78,0.000518
10,3,2,0,150,basic,basic,matrix,150,15,16,0.000167
12,3,2,2,252,basic,basic,matrix,252,28,70,0.00094
14,3,2,4,378,basic,basic,matrix,378,45,1300,0.040001
16,3,2,6,528,basic,basic,matrix,528,66,76427,1.53238
4,3,1,0,12,basic,basic,minmax,12,3,4,9.8e-05
6,3,1,2,42,basic,basic,minmax,42,10,38,0.00055
8,3,1,4,88,basic,basic,minmax,88,21,78,0.001439
10,3,2,0,150,basic,basic,minmax,150,15,16,0.000393
12,3,2,2,252,basic,basic,minmax,252,28,70,0.001687
14,3,2,4,378,basic,basic,minmax,378,45,1300,0.034873
16,3,2,6,528,basic,basic,minmax,528,66,76427,1.5115
4,3,1,0,12,cycle,basic,basic,12,3,4,6.3e-05
6,3,1,2,42,cycle,basic,basic,42,8,23,0.000145
8,3,1,4,88,cycle,basic,basic,88,19,501,0.002019
10,3,2,0,150,cycle,basic,basic,150,15,16,0.000169
12,3,2,2,252,cycle,basic,basic,252,26,130,0.000661
14,3,2,4,378,cycle,basic,basic,378,43,3508,0.017914
16,3,2,6,528,basic,basic,basic,528,66,4066148,11.6794
4,3,1,0,12,cycle,basic,matrix,12,3,4,4.8e-05
6,3,1,2,42,cycle,basic,matrix,42,8,22,0.000236
8,3,1,4,88,cycle,basic,matrix,88,19,84,0.001154
10,3,2,0,150,cycle,basic,matrix,150,15,16,0.000291
12,3,2,2,252,cycle,basic,matrix,252,26,130,0.002999
14,3,2,4,378,cycle,basic,matrix,378,43,1837,0.059025
16,3,2,6,528,cycle,basic,basic,528,64,321233,1.00881
4,3,1,0,12,cycle,basic,minmax,12,3,4,7.9e-05
6,3,1,2,42,cycle,basic,minmax,42,8,22,0.000318
16,3,2,6,528,cycle,basic,matrix,528,64,10649,0.309385
8,3,1,4,88,cycle,basic,minmax,88,19,84,0.001569
10,3,2,0,150,cycle,basic,minmax,150,15,16,0.000304
12,3,2,2,252,cycle,basic,minmax,252,26,130,0.001981
14,3,2,4,378,cycle,basic,minmax,378,43,1837,0.196214
4,3,1,0,12,stree,basic,basic,12,3,4,4.2e-05
6,3,1,2,42,stree,basic,basic,42,8,9,4.1e-05
