n,d,Q,R,sspl_lb,ginitr,sorted,sinitr,n_graph,sspl_max,sspl_min,n_edge,n_state,time
16,3,2,6,528,cycle,sorted,basic,50400,528,528,64,24541266,98.2414
4,3,1,0,12,cycle,sorted,matrix,1,12,12,3,4,3.1e-05
6,3,1,2,42,cycle,sorted,matrix,3,42,42,8,41,0.000267
8,3,1,4,88,cycle,sorted,matrix,24,88,88,19,558,0.004591
10,3,2,0,150,cycle,sorted,matrix,4,150,150,15,54,0.000559
12,3,2,2,252,cycle,sorted,matrix,22,252,252,26,713,0.010543
14,3,2,4,378,cycle,sorted,matrix,1728,378,378,43,69857,1.52544
16,3,2,6,528,cycle,sorted,matrix,50400,528,528,64,5031858,118.003
5,4,1,0,20,cycle,sorted,matrix,1,20,20,6,7,4.9e-05
6,4,1,1,36,cycle,sorted,matrix,3,36,36,8,27,0.000175
7,4,1,2,56,cycle,sorted,matrix,17,56,56,13,385,0.00231
8,4,1,3,80,cycle,sorted,matrix,175,80,80,19,5174,0.094867
9,4,1,4,108,cycle,sorted,matrix,3000,108,108,26,71381,0.696319
10,4,1,5,140,cycle,sorted,matrix,36966,140,140,34,928742,9.79327
11,4,1,6,176,cycle,sorted,basic,265560,176,176,43,71102685,238.413
4,3,1,0,12,cycle,sorted,minmax,1,12,12,3,4,4.7e-05
6,3,1,2,42,cycle,sorted,minmax,3,42,42,8,41,0.000342
8,3,1,4,88,cycle,sorted,minmax,24,88,88,19,558,0.005742
10,3,2,0,150,cycle,sorted,minmax,4,150,150,15,54,0.000802
12,3,2,2,252,cycle,sorted,minmax,22,252,252,26,713,0.009877
14,3,2,4,378,cycle,sorted,minmax,1728,378,378,43,69857,1.26481
11,4,1,6,176,cycle,sorted,matrix,265560,176,176,43,10296883,115.471
5,4,1,0,20,cycle,sorted,minmax,1,20,20,6,7,8.7e-05
6,4,1,1,36,cycle,sorted,minmax,3,36,36,8,27,0.000231
7,4,1,2,56,cycle,sorted,minmax,17,56,56,13,385,0.00411
8,4,1,3,80,cycle,sorted,minmax,175,80,80,19,5174,0.120988
9,4,1,4,108,cycle,sorted,minmax,3000,108,108,26,71381,0.988291
10,4,1,5,140,cycle,sorted,minmax,36966,140,140,34,928742,12.1205
16,3,2,6,528,cycle,sorted,minmax,50400,528,528,64,5031858,111.869
11,4,1,6,176,basic,basic,minmax,2275080,176,176,45,89125837,1271.34
11,4,1,6,176,cycle,sorted,minmax,265560,176,176,43,10296883,141.499
16,3,2,6,528,basic,basic,minmax,1013760,528,528,66,109823592,2373.21
