n,d,Q,R,sspl_lb,ginitr,sorted,sinitr,sspl,n_edge,n_state,time
7,4,1,2,56,stree,basic,matrix,56,13,45,0.000246
8,4,1,3,80,stree,basic,matrix,80,18,19,0.000148
9,4,1,4,108,stree,basic,matrix,108,24,32,0.000255
10,4,1,5,140,stree,basic,matrix,140,31,38,0.000349
11,4,1,6,176,stree,basic,matrix,176,39,63,0.000653
12,4,1,7,216,stree,basic,matrix,216,48,88,0.001027
13,4,1,8,260,stree,basic,matrix,260,58,128,0.001635
14,4,1,9,308,stree,basic,matrix,308,60,245441,3.52406
15,4,1,10,360,stree,basic,matrix,360,62,606,0.013468
26,3,3,4,1742,stree,basic,matrix,1742,116,234299,10.1275
17,4,2,0,476,stree,basic,matrix,0,66,13502,0.299312
30,3,3,8,2490,stree,basic,matrix,2490,182,249621,14.0418
19,4,2,2,646,stree,basic,matrix,646,89,100,0.002373
16,4,1,11,416,stree,basic,matrix,0,64,626551,10.4699
20,4,2,3,740,stree,basic,matrix,740,102,125067,2.9685
22,4,2,5,946,stree,basic,matrix,946,131,899,0.067558
23,4,2,6,1058,stree,basic,matrix,1058,147,209,0.006591
24,4,2,7,1176,stree,basic,matrix,1176,164,240,0.008389
25,4,2,8,1300,stree,basic,matrix,1300,182,1035,0.063543
26,4,2,9,1430,stree,basic,matrix,1430,201,1492,0.093426
27,4,2,10,1566,stree,basic,matrix,1566,221,1491,0.113869
28,4,2,11,1708,stree,basic,matrix,1708,242,4382,0.240182
29,4,2,12,1856,stree,basic,matrix,1856,264,13969,0.731908
30,4,2,13,2010,stree,basic,matrix,2010,287,8162,0.480783
4,3,1,0,12,stree,basic,minmax,12,3,4,5e-05
6,3,1,2,42,stree,basic,minmax,42,8,9,8.3e-05
8,3,1,4,88,stree,basic,minmax,88,13,15,0.000148
10,3,2,0,150,stree,basic,minmax,150,15,16,0.000193
12,3,2,2,252,stree,basic,minmax,252,26,27,0.000372
14,3,2,4,378,stree,basic,minmax,378,41,51,0.000735
16,3,2,6,528,stree,basic,minmax,528,60,69,0.001158
18,3,2,8,702,stree,basic,minmax,702,62,100,0.001934
20,3,2,10,900,stree,basic,minmax,900,64,147,0.00331
22,3,3,0,1122,stree,basic,minmax,0,66,12195,0.411366
24,3,3,2,1416,stree,basic,minmax,1416,89,830,0.064349
21,4,2,4,840,stree,basic,matrix,840,116,90043,2.35825
18,4,2,1,558,stree,basic,minmax,0,77,1329149,28.5788
28,3,3,6,2100,stree,basic,minmax,2100,147,10575,0.406899
5,4,1,0,20,stree,basic,minmax,20,6,7,7.5e-05
6,4,1,1,36,stree,basic,minmax,36,9,23,0.000175
7,4,1,2,56,stree,basic,minmax,56,13,45,0.000346
8,4,1,3,80,stree,basic,minmax,80,18,19,0.000201
9,4,1,4,108,stree,basic,minmax,108,24,32,0.000338
10,4,1,5,140,stree,basic,minmax,140,31,38,0.000435
11,4,1,6,176,stree,basic,minmax,176,39,63,0.000765
12,4,1,7,216,stree,basic,minmax,216,48,88,0.001145
13,4,1,8,260,stree,basic,minmax,260,58,128,0.001829
14,4,1,9,308,stree,basic,minmax,308,60,245441,3.91944
15,4,1,10,360,stree,basic,minmax,360,62,606,0.011215
26,3,3,4,1742,stree,basic,minmax,1742,116,234299,7.15144
17,4,2,0,476,stree,basic,minmax,0,66,13502,0.371825
30,3,3,8,2490,stree,basic,minmax,2490,182,249621,9.0873
19,4,2,2,646,stree,basic,minmax,646,89,100,0.002402
20,4,2,3,740,stree,basic,minmax,740,102,125067,2.74714
21,4,2,4,840,stree,basic,minmax,840,116,90043,1.97696
22,4,2,5,946,stree,basic,minmax,946,131,899,0.05417
23,4,2,6,1058,stree,basic,minmax,1058,147,209,0.006104
24,4,2,7,1176,stree,basic,minmax,1176,164,240,0.016264
25,4,2,8,1300,stree,basic,minmax,1300,182,1035,0.049245
26,4,2,9,1430,stree,basic,minmax,1430,201,1492,0.079328
27,4,2,10,1566,stree,basic,minmax,1566,221,1491,0.130021
28,4,2,11,1708,stree,basic,minmax,1708,242,4382,0.2106
29,4,2,12,1856,stree,basic,minmax,1856,264,13969,0.596931
30,4,2,13,2010,stree,basic,minmax,2010,287,8162,0.43222
4,3,1,0,12,stree,basic,matrix,12,3,4,7.1e-05
6,3,1,2,42,stree,basic,matrix,42,8,9,6e-05
8,3,1,4,88,stree,basic,matrix,88,13,15,0.000108
10,3,2,0,150,stree,basic,matrix,150,15,16,0.000146
12,3,2,2,252,stree,basic,matrix,252,26,27,0.000363
14,3,2,4,378,stree,basic,matrix,378,41,51,0.000811
16,3,2,6,528,stree,basic,matrix,528,60,69,0.001283
18,3,2,8,702,stree,basic,matrix,702,62,100,0.002252
20,3,2,10,900,stree,basic,matrix,900,64,147,0.003802
18,4,2,1,558,stree,basic,matrix,0,77,1329149,24.6886
24,3,3,2,1416,stree,basic,matrix,1416,89,830,0.103913
22,3,3,0,1122,stree,basic,matrix,0,66,12195,0.400339
28,3,3,6,2100,stree,basic,matrix,2100,147,10575,0.584473
16,4,1,11,416,stree,basic,minmax,0,64,626551,12.8873
5,4,1,0,20,stree,basic,matrix,20,6,7,5.1e-05
6,4,1,1,36,stree,basic,matrix,36,9,23,0.000141
7,4,1,2,56,stree,basic,matrix,56,13,45,0.000292
8,4,1,3,80,stree,basic,matrix,80,18,19,0.000145
9,4,1,4,108,stree,basic,matrix,108,24,32,0.000255
10,4,1,5,140,stree,basic,matrix,140,31,38,0.000359
11,4,1,6,176,stree,basic,matrix,176,39,63,0.000699
12,4,1,7,216,stree,basic,matrix,216,48,88,0.00105
13,4,1,8,260,stree,basic,matrix,260,58,128,0.001702
14,4,1,9,308,stree,basic,matrix,308,60,245441,3.38326
15,4,1,10,360,stree,basic,matrix,360,62,606,0.016188
26,3,3,4,1742,stree,basic,matrix,1742,116,234299,9.74987
17,4,2,0,476,stree,basic,matrix,0,66,13502,0.317783
30,3,3,8,2490,stree,basic,matrix,2490,182,249621,13.7838
19,4,2,2,646,stree,basic,matrix,646,89,100,0.002389
16,4,1,11,416,stree,basic,matrix,0,64,626551,10.393
20,4,2,3,740,stree,basic,matrix,740,102,125067,2.9826
22,4,2,5,946,stree,basic,matrix,946,131,899,0.070906
23,4,2,6,1058,stree,basic,matrix,1058,147,209,0.00661
24,4,2,7,1176,stree,basic,matrix,1176,164,240,0.008002
25,4,2,8,1300,stree,basic,matrix,1300,182,1035,0.054277
26,4,2,9,1430,stree,basic,matrix,1430,201,1492,0.094317
27,4,2,10,1566,stree,basic,matrix,1566,221,1491,0.093287
28,4,2,11,1708,stree,basic,matrix,1708,242,4382,0.25081
21,4,2,4,840,stree,basic,matrix,840,116,90043,2.35036
