n,d,Q,R,sspl_lb,alg,sspl,edge,node,time
30,5,2,4,1710,minmax,1710,272,211544761,8834.57
32,5,2,6,2016,minmax,2016,319,951228316,41347
38,5,2,12,3078,minmax,3078,484,18674934,1052.09
42,5,2,16,3906,minmax,3906,614,16651630,1175.02
40,5,2,14,3480,minmax,3480,547,111587467,6586.69
16,6,1,9,384,minmax,384,96,164,0.00961
20,7,1,12,620,minmax,620,159,544,0.039268
22,6,1,15,792,minmax,792,195,4290,0.1961
21,6,1,14,714,minmax,714,176,24225,0.782647
10,8,1,1,100,minmax,100,35,4745,0.107262
29,8,1,20,1392,minmax,1392,358,592751,34.308
10,7,1,2,110,minmax,110,34,7550,0.136353
12,6,1,5,192,minmax,192,50,51,0.000927
20,9,1,10,580,minmax,580,161,47097,1.27114
18,9,1,8,450,minmax,450,128,129,0.003854
23,10,1,12,782,minmax,782,219,4143779,125.363
28,10,1,17,1232,minmax,1232,334,30977,1.75215
13,10,1,2,182,minmax,182,64,14026168,187.556
12,8,1,3,168,minmax,168,52,281966,3.08875
19,8,1,10,532,minmax,532,143,22284,0.574979
17,8,1,8,408,minmax,408,112,1549,0.07863
24,8,1,15,912,minmax,912,238,3409,0.17281
14,8,1,5,252,minmax,252,73,7350320,94.1833
22,9,1,12,726,minmax,726,198,3745173,107.76
16,7,1,8,368,minmax,368,97,1091,0.055779
11,10,1,0,110,minmax,110,45,46,0.000732
17,6,1,10,442,minmax,442,110,188,0.004227
21,8,1,12,672,minmax,672,178,65690,1.90625
26,8,1,17,1092,minmax,1092,283,17900,0.863345
22,7,1,14,770,minmax,770,196,1090,0.098862
26,7,1,18,1118,minmax,1118,282,235713,9.97085
8,6,1,1,64,minmax,64,20,257,0.002042
23,6,1,16,874,minmax,874,215,6522,0.30351
22,10,1,11,704,minmax,704,199,547428,15.808
10,9,1,0,90,minmax,90,36,37,0.000553
12,7,1,4,180,minmax,180,51,114093,1.31141
14,6,1,7,280,minmax,280,71,252,0.004018
13,6,1,6,234,minmax,234,60,153,0.00216
20,10,1,9,560,minmax,560,162,163,0.0055
18,6,1,11,504,minmax,504,125,351,0.008228
29,10,1,18,1334,minmax,1334,360,59225,3.2509
7,6,1,0,42,minmax,42,15,16,0.00018
9,8,1,0,72,minmax,72,28,29,0.000402
23,8,1,14,828,minmax,828,217,1161,0.116979
30,8,1,21,1500,minmax,1500,385,1530461,89.0547
28,8,1,19,1288,minmax,1288,332,17924,0.97158
12,9,1,2,156,minmax,156,53,967988,10.6792
24,9,1,14,888,minmax,888,239,3785452,130.036
14,9,1,4,238,minmax,238,74,62361411,799.37
19,6,1,12,570,minmax,570,141,405,0.020381
14,10,1,3,224,minmax,224,75,206691098,2695.89
26,9,1,16,1066,minmax,1066,284,18227,0.864076
8,7,1,0,56,minmax,56,21,22,0.00026
28,7,1,20,1316,minmax,1316,331,203486,9.56517
9,6,1,2,90,minmax,90,26,953,0.011112
11,8,1,2,132,minmax,132,43,78001,0.877453
16,8,1,7,352,minmax,352,98,99,0.00238
14,7,1,6,266,minmax,266,72,73,0.00142
18,7,1,10,486,minmax,486,126,7716,0.248148
15,6,1,8,330,minmax,330,83,634,0.01827
21,10,1,10,630,minmax,630,180,29427,0.703656
20,6,1,13,640,minmax,640,158,339,0.013831
24,6,1,17,960,minmax,960,236,58150228,2021.78
10,6,1,3,120,minmax,120,33,4860,0.119873
15,8,1,6,300,minmax,300,85,742577,10.4845
13,8,1,4,208,minmax,208,62,3711772,42.7125
20,8,1,11,600,minmax,600,160,165043,4.32724
18,8,1,9,468,minmax,468,127,5105,0.168911
25,8,1,16,1000,minmax,1000,260,2845,0.174469
30,9,1,20,1470,minmax,1470,386,1098454,63.0381
28,9,1,18,1260,minmax,1260,333,10193,0.567364
12,10,1,1,144,minmax,144,54,118736,1.45456
30,10,1,19,1440,minmax,1440,387,375341,16.5055
24,7,1,16,936,minmax,936,237,12956,0.555705
24,10,1,13,864,minmax,864,240,16612517,551.731
22,8,1,13,748,minmax,748,197,871,0.069958
27,8,1,18,1188,minmax,1188,307,195818,9.21054
25,6,1,18,1050,minmax,1050,258,13195208,505.745
11,6,1,4,154,minmax,154,41,2589,0.081992
16,9,1,6,336,minmax,336,99,598088633,8978.44
31,10,1,20,1550,minmax,1550,415,37629,2.34404
35,10,1,24,2030,minmax,2030,537,18536426,1487.71
32,9,1,22,1696,minmax,1696,443,3616133,263.285
34,9,1,24,1938,minmax,1938,504,114989208,8528.69
15,10,1,4,270,minmax,270,87,642049810,9172.14
34,10,1,23,1904,minmax,1904,505,1027936,70.1885
27,10,1,16,1134,minmax,1134,309,178662136,7377.93
32,10,1,21,1664,minmax,1664,444,491816,32.1871
19,10,1,8,494,minmax,494,145,305925048,5767.15
33,10,1,22,1782,minmax,1782,474,4421850,304.289
30,7,1,22,1530,minmax,1530,384,89393446,5194.4
34,8,1,25,1972,minmax,1972,503,185424080,11218.3
25,10,1,14,950,minmax,950,262,330273523,12199.7
50,7,2,0,4550,minmax,4550,861,29939,4.25533
33,8,1,24,1848,minmax,1848,472,614629544,37706.2
36,10,1,25,2160,minmax,2160,570,279638691,23610.4
26,10,1,15,1040,minmax,1040,285,904520270,37070.5
36,9,1,26,2196,minmax,2196,569,463534239,39846.6
