n,d,Q,R,sspl_lb,bdr,mgr,sspl,node,time
14,3,2,4,378,cycle,basic,378,3269,0.008189
16,3,2,6,528,cycle,basic,528,309137,0.871336
20,3,2,10,900,basic,minmax,900,15456297,390.261
18,3,2,8,702,cycle,basic,702,1651515146,4307.94
22,3,3,0,1122,cycle,basic,0,9375,0.095335
24,3,3,2,1416,cycle,basic,1416,2205,0.007614
5,4,1,0,20,cycle,basic,20,7,4.5e-05
6,4,1,1,36,cycle,basic,36,36,0.00013
7,4,1,2,56,cycle,basic,56,59,0.000165
8,4,1,3,80,cycle,basic,80,151,0.000354
9,4,1,4,108,cycle,basic,108,117,0.000302
10,4,1,5,140,cycle,basic,140,10044,0.045428
6,5,1,0,30,cycle,basic,30,11,6.6e-05
8,5,1,2,72,cycle,basic,72,309,0.000807
4,3,1,0,12,cycle,minmax,12,4,4.2e-05
6,3,1,2,42,cycle,minmax,42,22,0.000169
8,3,1,4,88,cycle,minmax,88,70,0.000686
10,3,2,0,150,cycle,minmax,150,16,0.000208
12,3,2,2,252,cycle,minmax,252,130,0.001518
14,3,2,4,378,cycle,minmax,378,1969,0.04214
16,3,2,6,528,cycle,minmax,528,22587,0.433012
18,3,2,8,702,cycle,minmax,702,6284895,129.901
20,3,2,10,900,cycle,minmax,900,13369558,334.516
22,3,3,0,1122,cycle,minmax,0,6165,0.241124
24,3,3,2,1416,cycle,minmax,1416,2205,0.120302
5,4,1,0,20,cycle,minmax,20,7,6.9e-05
6,4,1,1,36,cycle,minmax,36,36,0.000273
7,4,1,2,56,cycle,minmax,56,58,0.000454
8,4,1,3,80,cycle,minmax,80,101,0.000885
9,4,1,4,108,cycle,minmax,108,37,0.000416
10,4,1,5,140,cycle,minmax,140,520,0.005925
6,5,1,0,30,cycle,minmax,30,11,0.000116
8,5,1,2,72,cycle,minmax,72,308,0.002487
4,3,1,0,12,stree,basic,12,4,4.2e-05
6,3,1,2,42,stree,basic,42,9,4.3e-05
8,3,1,4,88,stree,basic,88,16,6.2e-05
10,3,2,0,150,stree,basic,150,16,7.4e-05
12,3,2,2,252,stree,basic,252,27,9.4e-05
14,3,2,4,378,stree,basic,378,58,0.000169
16,3,2,6,528,stree,basic,528,184,0.00061
18,3,2,8,702,stree,basic,702,1480,0.005282
20,3,2,10,900,stree,basic,900,52543,0.278031
22,3,3,0,1122,stree,basic,0,16748,0.095034
24,3,3,2,1416,stree,basic,1416,830,0.002926
5,4,1,0,20,stree,basic,20,7,5.8e-05
6,4,1,1,36,stree,basic,36,23,9.9e-05
7,4,1,2,56,stree,basic,56,45,0.000145
8,4,1,3,80,stree,basic,80,19,7.4e-05
9,4,1,4,108,stree,basic,108,38,0.000125
10,4,1,5,140,stree,basic,140,45,0.000154
6,5,1,0,30,stree,basic,30,11,0.000112
8,5,1,2,72,stree,basic,72,224,0.00059
4,3,1,0,12,stree,minmax,12,4,5.1e-05
6,3,1,2,42,stree,minmax,42,9,9e-05
8,3,1,4,88,stree,minmax,88,15,0.000167
10,3,2,0,150,stree,minmax,150,16,0.000221
12,3,2,2,252,stree,minmax,252,27,0.000372
14,3,2,4,378,stree,minmax,378,51,0.000749
16,3,2,6,528,stree,minmax,528,69,0.001178
18,3,2,8,702,stree,minmax,702,100,0.002039
20,3,2,10,900,stree,minmax,900,147,0.003362
22,3,3,0,1122,stree,minmax,0,12195,0.418744
24,3,3,2,1416,stree,minmax,1416,830,0.06877
5,4,1,0,20,stree,minmax,20,7,7.9e-05
6,4,1,1,36,stree,minmax,36,23,0.000202
7,4,1,2,56,stree,minmax,56,45,0.000355
8,4,1,3,80,stree,minmax,80,19,0.00022
